Event_ID,Timestamp,Gate_ID,Ticket_Class,Purchase_Type,Staff_On_Duty,Gate_Status,Alerts,Total_Attendance,Zone_Attendance,Sellout_Rate(%),Drill_Timestamp,Evacuation_Time(min),Congestion_Hotspot
1000,06/02/2024 08:00,West,Regular,At-Gate,21,Open,None,50595,8773,97,06/03/2024 08:00,3.11,Z4
1001,06/02/2024 08:10,West,Regular,At-Gate,5,Open,None,50595,7460,97,06/03/2024 08:10,4.99,Z3
1002,06/02/2024 08:20,West,Regular,At-Gate,7,Open,None,50595,9266,97,06/03/2024 08:20,3.71,Z10
1003,06/02/2024 08:30,West,Regular,At-Gate,17,Open,None,50595,13158,97,06/03/2024 08:30,4.94,Z2
1004,06/02/2024 08:40,West,Regular,At-Gate,21,Open,None,50595,5304,97,06/03/2024 08:40,4.01,Z10
1005,06/02/2024 08:50,West,Regular,Pre,18,Open,None,50595,10181,97,06/03/2024 08:50,4.7,Z5
1006,06/02/2024 09:00,West,Regular,Pre,14,Open,None,50595,10059,97,06/03/2024 09:00,4.05,Z5
1007,06/02/2024 09:10,West,Regular,Pre,16,Open,None,50595,12037,97,06/03/2024 09:10,7.27,Z2
1008,06/02/2024 09:20,West,Regular,Pre,7,Open,None,50595,13888,97,06/03/2024 09:20,6.38,Z7
1009,06/02/2024 09:30,West,Regular,Pre,17,Closed,Blockage,50595,16662,97,06/03/2024 09:30,7.72,Z7
1010,06/02/2024 09:40,West,Regular,Pre,13,Closed,Blockage,50595,12960,97,06/03/2024 09:40,7.21,Z3
1011,06/02/2024 09:50,West,Regular,Pre,15,Closed,Blockage,50595,20000,97,06/03/2024 09:50,4.66,Z7
1012,06/02/2024 10:00,West,Regular,Pre,14,Open,None,50595,7970,97,06/03/2024 10:00,5.62,Z5
1013,06/02/2024 10:10,West,Regular,At-Gate,19,Open,None,50595,9700,97,06/03/2024 10:10,4.22,Z8
1014,06/02/2024 10:20,West,Regular,At-Gate,13,Open,None,50595,5188,97,06/03/2024 10:20,5.81,Z2
1015,06/02/2024 10:30,West,Regular,At-Gate,13,Open,None,50595,9986,97,06/03/2024 10:30,6.78,Z4
1016,06/02/2024 10:40,West,Regular,At-Gate,21,Open,None,50595,8586,97,06/03/2024 10:40,6.89,Z6
1017,06/02/2024 10:50,West,Regular,Pre,17,Open,None,50595,7665,97,06/03/2024 10:50,3.74,Z5
1018,06/02/2024 11:00,West,Regular,At-Gate,16,Open,None,50595,5506,97,06/03/2024 11:00,4.0,Z1
1019,06/02/2024 11:10,West,Regular,Pre,15,Open,None,50595,3666,97,06/03/2024 11:10,5.44,Z2
1020,06/03/2024 14:00,North,Regular,Pre,12,Open,None,53285,14192,100,06/04/2024 14:00,5.23,Z1
1021,06/03/2024 14:10,North,Regular,Pre,17,Open,None,53285,15450,100,06/04/2024 14:10,4.39,Z2
1022,06/03/2024 14:20,North,Regular,At-Gate,18,Open,None,53285,9837,100,06/04/2024 14:20,5.38,Z8
1023,06/03/2024 14:30,North,Regular,Pre,22,Open,None,53285,4873,100,06/04/2024 14:30,3.21,Z10
1024,06/03/2024 14:40,North,Regular,Pre,18,Open,None,53285,14044,100,06/04/2024 14:40,5.31,Z10
1025,06/03/2024 14:50,North,Regular,At-Gate,9,Open,None,53285,12306,100,06/04/2024 14:50,4.64,Z6
1026,06/03/2024 15:00,North,Regular,At-Gate,19,Open,None,53285,10827,100,06/04/2024 15:00,7.19,Z5
1027,06/03/2024 15:10,North,Regular,Pre,16,Open,None,53285,11140,100,06/04/2024 15:10,3.16,Z2
1028,06/03/2024 15:20,North,Regular,Pre,14,Open,None,53285,13654,100,06/04/2024 15:20,6.41,Z8
