feature,importance
avg_pressure_mat_velocity,0.24967614
Time_Step,0.16749783
max_occupancy_prob,0.13298719
max_occupancy_prob_velocity,0.07470435
attendance_to_capacity_ratio_velocity,0.07252074
avg_people,0.07158873
high_congestion_ratio_velocity,0.051298473
avg_occupancy_prob_velocity,0.049780242
max_congestion_velocity,0.013979686
high_congestion_ratio,0.009962673
turnstile_to_people_ratio,0.006182679
high_congestion_edges_velocity,0.0057481984
std_people_velocity,0.0039407
num_edges,0.0039279237
attendance_to_capacity_ratio,0.0038110672
avg_detected_heads,0.0036397972
Match_ID,0.0032346733
Event_ID,0.0030719913
avg_congestion_velocity,0.0029210232
std_congestion_velocity,0.0029124871
avg_occupancy_prob,0.0028083057
turnstile_to_people_ratio_velocity,0.0027958956
max_people_velocity,0.0027903111
Staff_On_Duty,0.0027396088
avg_pressure_mat,0.0027201646
max_people,0.0026619774
Evacuation_Time(min)_velocity,0.0025504215
Evacuation_Time(min),0.0025136732
avg_congestion,0.0025128645
avg_detected_heads_velocity,0.0024330616
Total_Attendance,0.0023345244
avg_ble_pings,0.0023284655
Sellout_Rate(%),0.0023164698
avg_ble_pings_velocity,0.0023148272
avg_flow_capacity_velocity,0.002304579
std_people,0.0022634496
Zone_Attendance_velocity,0.002141005
avg_current_flow,0.002095214
Zone_Attendance,0.0020815544
avg_zone_capacity_velocity,0.0020746381
std_congestion,0.0020522987
avg_current_flow_velocity,0.001932522
avg_people_velocity,0.0018869705
Staff_On_Duty_velocity,0.0018591352
num_edges_velocity,0.001832125
avg_flow_capacity,0.0018313271
avg_turnstile_velocity,0.0017558907
avg_zone_capacity,0.0017237446
max_congestion,0.0016826587
avg_turnstile,0.0012756893
Total_Attendance_velocity,0.0
Sellout_Rate(%)_velocity,0.0
high_congestion_edges,0.0
